CanonicalSMILES,InChIKey,UniProtKB
C=CCl,BZHJMEDXRYGGRV-UHFFFAOYSA-N,P05181
C1C(O1)C(=O)N,FMAZQSYXRGRESX-UHFFFAOYSA-N,P05181
C1=CC=CC=C1,UHOVQNZJYSORNB-UHFFFAOYSA-N,P05181
C=CC1=CC=CC=C1,PPBRXRYQALVLMV-UHFFFAOYSA-N,P05181
CC#N,WEVYAHXRMPXWCK-UHFFFAOYSA-N,P05181
C(C(F)(F)F)(Cl)Br,BCQZXOMGPXTTIC-UHFFFAOYSA-N,P05181
CC(=O)N(CCCCCNC(=O)CCC(=O)N(CCCCCNC(=O)CCC(=O)N(CCCCCN)O)O)O,UBQYURCVBFRUQT-UHFFFAOYSA-N,P05181
CCC1(C(=O)N(C(=O)N1)C)C2=CC=CC=C2,GMHKMTDVRCWUDX-UHFFFAOYSA-N,P05181
CCOC(=O)C(C1=CC=CC=C1)SP(=S)(OC)OC,XAMUDJHXFNRLCY-UHFFFAOYSA-N,P05181
C1=CC(=CC=C1C(C2=CC=C(C=C2)Cl)(C(Cl)(Cl)Cl)O)Cl,UOAMTSKGCBMZTC-UHFFFAOYSA-N,P05181
C1=CC=C(C(=C1)C(C2=CC=C(C=C2)Cl)(C3=CN=CN=C3)O)Cl,NHOWDZOIZKMVAI-UHFFFAOYSA-N,P05181
CCCC1COC(O1)(CN2C=NC=N2)C3=C(C=C(C=C3)Cl)Cl,STJLVHWMYQXCPB-UHFFFAOYSA-N,P05181
C1=CNN=C1,WTKZEGDFNFYCGP-UHFFFAOYSA-N,P05181
CC1(C(=O)N(C(=O)O1)C2=CC(=CC(=C2)Cl)Cl)C=C,FSCWZHGZWWDELK-UHFFFAOYSA-N,P05181
CCN(CC)C(=S)SSC(=S)N(CC)CC,AUZONCFQVSMFAP-UHFFFAOYSA-N,P05181
C1=CC(=C(C=C1OC2=C(C=C(C=C2I)CC(C(=O)O)N)I)I)O,AUYYCJSJGJYCDS-LBPRGKRZSA-N,P05181
C1=CC(=CC=C1CS(=O)(=O)F)C(=N)N,PMHUSCHKTSTQEP-UHFFFAOYSA-N,P05181
C1=C(C(=C(C(=C1Cl)Cl)Cl)Cl)O,RULKYXXCCZZKDZ-UHFFFAOYSA-N,P05181
C=CBr,INLLPKCGLOXCIV-UHFFFAOYSA-N,P05181
C=CC1CCC2C(C1)O2,SLJFKNONPLNAPF-UHFFFAOYSA-N,P05181
CC(F)(Cl)Cl,FRCHKSNAZZFGCA-UHFFFAOYSA-N,P05181
C1=CC=[N+](C=C1)[O-],ILVXOBCQQYKLDS-UHFFFAOYSA-N,P05181
